Id,PositionX,PositionY,Angle,ChargingDirection,LoadUnloadDirection,StageNumber,NeedPIO,SpecialTurn
10095,0,0,0,None,Left,0,FALSE,StopTurn
10089,1120,0,0,None,None,0,FALSE,StopTurn
10090,1120,2100,90,None,None,0,FALSE,StopTurn
10091,1120,4100,90,None,None,0,FALSE,StopTurn
10092,1120,6020,90,None,None,0,FALSE,StopTurn
10093,1120,8095,90,None,None,0,FALSE,StopTurn
10094,1120,9770,90,None,None,0,FALSE,StopTurn
10096,320,8095,90,None,None,0,FALSE,StopTurn
10097,320,8939,90,Right,Right,0,FALSE,StopTurn
10098,320,9770,90,None,None,0,FALSE,StopTurn
10084,3120,0,90,None,None,0,FALSE,StopTurn
10085,3120,2100,90,None,None,0,FALSE,StopTurn
10086,3120,4100,90,None,None,0,FALSE,StopTurn
10087,3120,6020,90,None,None,0,FALSE,StopTurn
10088,3120,9770,90,None,None,0,FALSE,StopTurn
10079,4620,2100,180,None,None,0,FALSE,StopTurn
10080,4620,3100,180,None,None,0,FALSE,StopTurn
10081,4620,4100,180,None,None,0,FALSE,StopTurn
10082,4620,5100,180,None,None,0,FALSE,StopTurn
10083,4620,6020,180,None,None,0,FALSE,StopTurn
10074,6120,2100,180,None,None,0,FALSE,StopTurn
10075,6120,3100,180,None,None,0,FALSE,StopTurn
10076,6120,4100,180,None,None,0,FALSE,StopTurn
10077,6120,5100,180,None,None,0,FALSE,StopTurn
10078,6120,6020,180,None,None,0,FALSE,StopTurn
10014,7570,2100,180,None,Right,0,FALSE,StopTurn
10013,8120,2100,180,None,None,0,FALSE,StopTurn
10012,8120,3100,180,None,None,0,FALSE,StopTurn
10011,8120,4100,180,None,None,0,FALSE,StopTurn
10007,8120,5100,180,None,None,0,FALSE,StopTurn
10006,8120,6020,180,None,None,0,FALSE,StopTurn
10015,9620,2100,180,None,None,0,FALSE,StopTurn
10016,9620,3100,180,None,None,0,FALSE,StopTurn
10017,9620,4100,180,None,None,0,FALSE,StopTurn
10018,9620,5100,180,None,None,0,FALSE,StopTurn
10019,9620,6020,180,None,None,0,FALSE,StopTurn
10047,14210,1815,180,None,None,0,FALSE,StopTurn
10048,14210,2100,180,None,None,0,FALSE,StopTurn
10046,14720,1813,180,None,Right,0,FALSE,StopTurn
10045,16805,1815,180,None,None,0,FALSE,StopTurn
10049,16805,2100,180,None,None,0,FALSE,StopTurn
10050,16805,3100,180,None,None,0,FALSE,StopTurn
10054,16805,4100,180,None,None,0,FALSE,StopTurn
10056,16805,5100,180,None,None,0,FALSE,StopTurn
10022,16805,6020,180,None,None,0,FALSE,StopTurn
