Id,FromAddress,ToAddress,FromVehicleAngle,ToVehicleAngle,Speed
20401,10096,10097,90,90,1000
20501,10097,10098,90,90,1000
19701,10089,10090,90,90,1000
19801,10090,10091,90,90,1000
19901,10091,10092,90,90,1000
20001,10092,10093,90,90,1000
20101,10093,10094,90,90,1000
18801,10084,10085,90,90,1000
19001,10085,10086,90,90,1000
19201,10086,10087,90,90,1000
19401,10087,10088,90,90,1000
18001,10079,10080,180,180,1000
18201,10080,10081,180,180,1000
18401,10081,10082,180,180,1000
18501,10082,10083,180,180,1000
20601,10074,10075,180,180,1000
20701,10075,10076,180,180,1000
20801,10076,10077,180,180,1000
20901,10077,10078,180,180,1000
11701,10013,10012,180,180,1000
11801,10012,10011,180,180,1000
11901,10011,10007,180,180,1000
12401,10007,10006,180,180,1000
13901,10015,10016,180,180,1000
14001,10016,10017,180,180,1000
14101,10017,10018,180,180,1000
14201,10018,10019,180,180,1000
11303,10047,10048,180,180,1000
13501,10045,10049,180,180,1000
13601,10049,10050,180,180,1000
15501,10050,10054,180,180,1000
15601,10054,10056,180,180,1000
15701,10056,10022,180,180,1000
19601,10095,10089,0,0,1000
18701,10089,10084,0,0,1000
18901,10090,10085,90,90,1000
17901,10085,10079,180,180,1000
17401,10079,10074,180,180,1000
11602,10074,10014,180,180,1000
11601,10014,10013,180,180,1000
11501,10013,10015,180,180,1000
11401,10015,10048,180,180,1000
13401,10048,10049,180,180,1000
11302,10047,10046,180,180,1000
11301,10046,10045,180,180,1000
17501,10080,10075,180,180,1000
17001,10075,10012,180,180,1000
13801,10012,10016,180,180,1000
13701,10016,10050,180,180,1000
19101,10091,10086,90,90,1000
18301,10086,10081,180,180,1000
17601,10081,10076,180,180,1000
17101,10076,10011,180,180,1000
14301,10011,10017,180,180,1000
14501,10017,10054,180,180,1000
17701,10082,10077,180,180,1000
17201,10077,10007,180,180,1000
12601,10007,10018,180,180,1000
12701,10018,10056,180,180,1000
19301,10092,10087,90,90,1000
18601,10087,10083,180,180,1000
17801,10083,10078,180,180,1000
17301,10078,10006,180,180,1000
10201,10006,10019,180,180,1000
10301,10019,10022,180,180,1000
20201,10096,10093,90,90,1000
20301,10098,10094,90,90,1000
19501,10094,10088,90,90,1000
